Edades,Media_Col
31,219.0
32,198.0
33,246.0
34,185.5
35,170.0
37,214.75
38,91.66666666666667
39,200.33333333333334
40,392.0
41,236.42857142857142
42,228.33333333333334
43,238.66666666666666
44,200.33333333333334
45,243.16666666666666
46,215.5
47,236.25
48,233.0
49,222.66666666666666
50,219.28571428571428
51,229.9090909090909
52,216.6
53,278.6666666666667
54,266.8666666666667
55,311.7142857142857
56,297.8
57,298.1666666666667
58,286.42857142857144
59,258.3333333333333
60,259.8
61,307.25
62,202.9
63,220.0
64,202.83333333333334
65,317.75
66,183.0
67,354.6666666666667
68,211.0
69,239.0
71,238.66666666666666
74,269.0
76,197.0
